name,score,genre1,genre2,genre3,duration,release,rating,country,language,sound,color,ratio,budget,gross
La habitación,8.1,Drama,Thriller,#N/A,118,26 February 2016,12,Canada,English,Dolby Digital|Datasat|Dolby Atmos,Color,2.35 : 1,"$13,000,000","$35,401,758"
Gran Torino,8.1,Drama,#N/A,#N/A,116,6 March 2009,12,Germany,English,DTS|Dolby Digital|SDDS,Color,2.39 : 1,"$33,000,000","$269,958,228"
El tercer hombre,8.1,Film-Noir,Mystery,Thriller,104,12 October 1949,A,UK,English,Mono,Black and White,1.37 : 1,#N/A,"$1,226,797"
La ley del silencio,8.1,Crime,Drama,Thriller,108,22 June 1954,7,USA,English,Mono,Black and White,1.33 : 1,"$910,000",#N/A
El cazador,8.1,Drama,War,#N/A,183,19 March 1979,18,USA,English,70 mm 6-Track|Dolby Stereo,Color,2.39 : 1,"$15,000,000","$49,074,243"
En el nombre del padre,8.1,Biography,Crime,Drama,133,18 February 1994,13,Ireland,English,Dolby Stereo|DTS,Color,1.85 : 1,"$13,000,000","$65,796,862"
Mary and Max,8.1,Animation,Comedy,Drama,92,9 April 2009,#N/A,Australia,English,Dolby Digital,Color,1.85 : 1,"AUD8,240,000","$1,740,429"
Antes de amanecer,8.1,Drama,Romance,#N/A,101,23 June 1995,T,USA,English,Dolby SR,Color,1.85 : 1,"$2,500,000","$5,987,386"
El gran hotel Budapest,8.1,Adventure,Comedy,Crime,99,21 March 2014,12,Germany,English,SDDS|Datasat|Dolby Digital|Dolby Surround 7.1,Color,1.37 : 1,"$25,000,000","$172,945,750"
Atrápame si puedes,8.1,Biography,Crime,Drama,141,24 January 2003,7,USA,English,DTS|Dolby Digital|SDDS,Color,1.85 : 1,"$52,000,000","$352,114,312"
Perdida,8.1,Drama,Mystery,Thriller,149,10 October 2014,16,USA,English,Dolby Digital|Dolby Atmos|Datasat|Dolby Surround 7.1,Color,2.39 : 1,"$61,000,000","$369,330,363"
Hasta el último hombre,8.1,Biography,Drama,History,139,7 December 2016,16,Australia,English,Dolby Atmos|DTS,Color,2.35 : 1,"$40,000,000","$180,450,918"
Prisioneros,8.1,Crime,Drama,Mystery,153,11 October 2013,16,USA,English,SDDS|Datasat|Dolby Digital|Dolby Surround 7.1|Dolby Atmos,Color,1.85 : 1,"$46,000,000","$122,126,687"
Persona,8.1,Drama,Thriller,#N/A,85,18 October 1966,12,Sweden,Swedish,AGA Sound System,Black and White,1.37 : 1,#N/A,"$84,391"
El moderno Sherlock Holmes,8.2,Action,Comedy,Romance,45,11 May 1924,A,USA,None,Silent|DTS,Black and White,1.33 : 1,#N/A,#N/A
Andhadhun,8.2,Crime,Drama,Music,139,5 October 2018,#N/A,India,Hindi,Dolby Digital|Dolby Atmos,Color,2.35 : 1,"$4,500,000","$62,475,342"
El gran Lebowski,8.1,Comedy,Crime,Sport,117,24 April 1998,12,USA,English,DTS|Dolby Digital|SDDS|DTS,Color,1.85 : 1,"$15,000,000","$46,748,672"
Barry Lyndon,8.1,Adventure,Drama,History,185,15 November 1976,18,UK,English,Mono|Dolby Digital,Color,1.66 : 1,"$11,000,000","$198,992"
Ser o no ser,8.2,Comedy,War,#N/A,99,6 March 1942,A,USA,English,Mono,Black and White,1.37 : 1,#N/A,"$4,578,000"
El maquinista de La General,8.1,Action,Adventure,Comedy,67,2 January 1927,A,USA,None,Silent,Black and White,1.33 : 1,"$750,000",#N/A
Le Mans '66,8.1,Action,Biography,Drama,152,15 November 2019,7,USA,English,Dolby Atmos|Dolby Digital,Color,2.39 : 1,"$97,600,000","$225,508,210"
Cómo entrenar a tu dragón,8.1,Animation,Action,Adventure,98,26 March 2010,7/i,USA,English,Dolby Digital|DTS|SDDS,Color,2.35 : 1,"$165,000,000","$494,879,471"
12 años de esclavitud,8.1,Biography,Drama,History,134,13 December 2013,16,USA,English,DTS|Dolby Digital|SDDS|Dolby Surround 7.1|DTS,Color,2.35 : 1,"$20,000,000","$187,733,202"
Eskiya,8.2,Crime,Drama,Thriller,128,29 November 1996,#N/A,Turkey,Turkish,Mono|Dolby Digital,Color,1.78 : 1,"TRL1,200,000",#N/A
Sonata de otoño,8.2,Drama,Music,#N/A,99,5 March 1979,16,West Germany,Swedish,Mono,Color,1.66 : 1,#N/A,"$14,338"
Caballero sin espada,8.1,Comedy,Drama,#N/A,129,19 October 1939,A,USA,English,Mono,Black and White,1.37 : 1,"$1,900,000","$144,738"
Mad Max: Furia en la carretera,8.1,Action,Adventure,Sci-Fi,120,15 May 2015,16,Australia,English,Dolby Digital|Datasat|SDDS|Dolby Atmos,Color,2.39 : 1,"$150,000,000","$376,127,771"
El club de los poetas muertos,8.1,Comedy,Drama,#N/A,128,22 November 1989,13,USA,English,70 mm 6-Track|Dolby Stereo,Color,1.85 : 1,"$16,400,000","$235,860,116"
Million Dollar Baby,8.1,Drama,Sport,#N/A,132,4 February 2005,13,USA,English,DTS|Dolby Digital|SDDS,Color,2.39 : 1,"$30,000,000","$216,763,646"
Harry Potter y las Reliquias de la Muerte - Parte 2,8.1,Adventure,Drama,Fantasy,130,15 July 2011,7,UK,English,Dolby Digital|Datasat|Dolby Surround 7.1|SDDS|Sonics-DDP|DTS,Color,2.39 : 1,"$125,000,000","$1,342,274,154"
Cuenta conmigo,8.1,Adventure,Drama,#N/A,89,3 August 1987,A,USA,English,Dolby Atmos|Dolby Digital|Mono,Color,1.85 : 1,"$8,000,000","$52,287,414"
Ben-Hur,8.1,Adventure,Drama,History,212,18 November 1959,A,USA,English,6-Track Stereo,Color,2.66 : 1,"$15,000,000","$74,427,638"
Anand,8.3,Drama,Musical,#N/A,122,12 March 1971,#N/A,India,Hindi,Mono|DTS,Color,1.33 : 1,"INR3,000,000",#N/A
"Network, un mundo implacable",8.1,Drama,#N/A,#N/A,121,16 May 1977,18,USA,English,Mono,Color,1.85 : 1,"$3,800,000","$23,690,757"
Siempre a tu lado ,8.1,Biography,Drama,Family,93,6 November 2009,A,UK,English,DTS|Dolby Digital|SDDS,Color,1.85 : 1,"$16,000,000","$46,749,646"
La doncella,8.1,Drama,Romance,Thriller,145,2 December 2016,16,South Korea,Korean,Dolby Digital|Dolby Atmos|Dolby Surround 7.1,Color,2.35 : 1,"KRW10,000,000,000","$37,767,206"
La leyenda del indomable,8.1,Crime,Drama,#N/A,127,1 November 1967,7,USA,English,Mono,Color,2.35 : 1,"$3,200,000",#N/A
Logan,8.1,Action,Drama,Sci-Fi,137,3 March 2017,16,USA,English,DTS|Dolby Atmos|Dolby Digital|Dolby Surround 7.1|SDDS,Color,2.39 : 1,"$97,000,000","$619,179,950"
